id,score,n_hallu,n_object,len,g_mean_hallu,g_mean_object,g_mean_other,s_mean_hallu,s_mean_object,s_mean_other,quadrant_global,quadrant_soft,image_file
508,0.06281517767365584,6,6,83,0.08038559165045929,-0.03518348381233712,0.08633526201360132,0.021832128097230452,-0.03712563395189742,0.017358922678782543,ideal,ideal,AMBER_508.jpg
516,0.21307637780235378,5,5,83,0.016090935131069274,0.06923526651225984,0.07759228361190826,0.0030719923990545793,-0.03543121805414558,0.012164686365856004,sledgehammer,ideal,AMBER_516.jpg
526,0.08820342603976315,4,13,130,0.05526288505643606,0.015607659071275311,0.061233201493656145,0.00508116977289319,0.004127606512086528,0.002809128707713473,sledgehammer,sledgehammer,AMBER_526.jpg
548,0.0258875954951301,2,14,89,0.013326913118362427,-0.006890620140828625,0.07963413625131505,-0.007779985666275024,-0.027638363877485972,0.012759206888914963,ideal,bad_hallu,AMBER_548.jpg
554,-0.07722021348567472,2,9,115,-0.03639745234977454,0.00734043281732334,0.03463859265513328,-0.07167514390312135,0.005665927168188823,0.00031163084167901573,bad_both,bad_both,AMBER_554.jpg
559,0.28229557195173227,5,23,136,0.13614577567204833,0.028165007513942564,0.058230417022198507,0.10371275098295882,-0.009656545050782606,0.004972373224775227,sledgehammer,ideal,AMBER_559.jpg
567,0.31063397612709265,2,13,114,0.15065908432006836,0.05836579748071157,0.08312108154944262,0.046234726905822754,0.0006618095705142388,0.013836097152950125,sledgehammer,sledgehammer,AMBER_567.jpg
574,0.4038672825280325,2,12,108,0.2726587876677513,0.010961250226197686,0.0681901743134423,0.11020942032337189,-0.02495595844690494,0.007841681056333982,sledgehammer,ideal,AMBER_574.jpg
580,0.27744082140108933,9,4,84,0.03930017163010133,0.12246769294142723,0.0886851527448016,0.011888332204155935,0.03300842270255089,0.010642462591368059,sledgehammer,sledgehammer,AMBER_580.jpg
584,0.32704831388660494,2,14,104,0.17116335034370422,0.0728382567711898,0.06095616630839438,0.019577205181121826,0.015052704150418452,0.003680111191484188,sledgehammer,sledgehammer,AMBER_584.jpg
587,0.2168641447002156,2,22,116,0.1312092961743474,0.030261026446014097,0.02926999458063422,0.07171690720133483,0.025934370580247643,-0.009383296183213844,sledgehammer,sledgehammer,AMBER_587.jpg
599,-0.09606801084722519,10,10,93,-0.006749264568816216,-0.05115003681567032,0.10475881230364667,-0.027156009529744552,-0.035183784489072424,0.03324073642689555,bad_hallu,bad_hallu,AMBER_599.jpg
610,0.18711367767161086,4,12,99,0.1112950099632144,0.03466036444721491,0.06210354275000177,0.0738874925300479,0.04346281570542487,0.01434697123371493,sledgehammer,sledgehammer,AMBER_610.jpg
619,0.4769376304073376,2,7,70,0.32024371142324526,0.02232525910325681,0.04404518008747994,0.14747166498273145,-0.0036234862241794224,0.0043012833315604765,sledgehammer,ideal,AMBER_619.jpg
630,0.0203381973408146,2,7,75,-0.025253981351852417,0.03408842275634275,0.046990149842189785,-0.013521939516067505,0.016614161425033153,0.008045560171674217,bad_both,bad_both,AMBER_630.jpg
631,0.091417975255205,4,13,104,0.010306913179420008,0.05585160457821285,0.05348565835161078,0.0018172822590258875,0.0358621379813345,0.008003203853108083,sledgehammer,sledgehammer,AMBER_631.jpg
632,-0.06531703126054046,6,11,92,-0.05931860249135449,-0.004400629039578648,0.08022998661472229,-0.03876320086631798,-0.025680996436924695,0.009511638511297254,bad_hallu,bad_hallu,AMBER_632.jpg
644,0.10566604299626,4,6,108,-0.0015459688729606569,0.055654448146621384,0.07583466423476443,-0.045893637579865754,-0.014081476877133051,0.01312216793121943,bad_both,bad_hallu,AMBER_644.jpg
651,0.16378769955287376,2,3,98,0.048526644706726074,0.04812379336605469,0.059571033302124494,-0.0026709139347076416,-0.009381957662602266,0.00831879449378536,sledgehammer,bad_hallu,AMBER_651.jpg
653,-0.2418357625867956,2,19,131,-0.20064343512058258,0.014961677451178969,0.05730114762081939,-0.10221818462014198,0.002129407187256124,0.00848689102387487,bad_both,bad_both,AMBER_653.jpg
655,0.07423441845305487,2,13,73,0.06227192562073469,0.013118918871021798,0.03200096235130347,-0.02104776818305254,0.001804742463159178,0.008158039731718983,sledgehammer,bad_both,AMBER_655.jpg
660,0.21516759146455416,3,14,109,0.10487686345974605,0.05769702367635026,0.055948403698573165,0.0377150314549605,0.035869371751362324,0.005522182682792939,sledgehammer,sledgehammer,AMBER_660.jpg
